cust_id,age,gender,marital_status,employment_status,income,number_of_dependants,residence_type,years_at_current_address,city,state,zipcode,loan_id,loan_purpose,loan_type,sanction_amount,loan_amount,processing_fee,gst,net_disbursement,loan_tenure_months,principal_outstanding,bank_balance_at_application,disbursal_date,installment_start_dt,default,number_of_open_accounts,number_of_closed_accounts,total_loan_months,delinquent_months,total_dpd,enquiry_count,credit_utilization_ratio
C00001,44,M,Married,Self-Employed,2586000,3,Owned,27,Delhi,Delhi,110001,L00001,Auto,Secured,3004000,2467000,49340.0,444060,1973600,33,1630408,873386,2019-07-24,2019-08-10,False,1,1,42,0,0,3,7
C00002,38,M,Married,Salaried,1206000,3,Owned,4,Chennai,Tamil Nadu,600001,L00002,Home,Secured,4161000,3883000,77660.0,698940,3106400,30,709309,464100,2019-07-24,2019-08-15,False,3,1,96,12,60,5,4
C00003,46,F,Married,Self-Employed,2878000,3,Owned,24,Kolkata,West Bengal,700001,L00003,Personal,Unsecured,2401000,2170000,43400.0,390600,1736000,21,1562399,1476042,2019-07-24,2019-08-21,False,2,1,82,24,147,6,58
C00004,55,F,Single,Self-Employed,3547000,1,Owned,15,Bangalore,Karnataka,560001,L00004,Personal,Unsecured,2345000,1747000,34940.0,314460,1397600,6,1257839,1031094,2019-07-24,2019-08-09,False,3,0,115,15,87,5,26
C00005,37,M,Married,Salaried,3432000,3,Owned,28,Pune,Maharashtra,411001,L00005,Auto,Secured,4647000,4520000,90400.0,813600,3616000,28,1772334,1032458,2019-07-24,2019-08-02,False,4,2,120,0,0,5,10
C00006,37,M,Married,Self-Employed,1155000,5,Owned,5,Pune,Maharashtra,411001,L00006,Personal,Unsecured,959000,762000,15240.0,137160,609600,14,545965,390704,2019-07-24,2019-08-19,False,1,0,42,14,74,2,37
C00007,55,M,Married,Self-Employed,3255000,3,Mortgage,21,Bangalore,Karnataka,560001,L00007,Personal,Unsecured,2252000,2215000,44300.0,398700,1772000,11,1594799,768707,2019-07-24,2019-08-22,False,2,2,79,2,16,4,12
C00008,47,F,Single,Self-Employed,355000,0,Mortgage,3,Pune,Maharashtra,411001,L00008,Education,Secured,547000,416000,8320.0,74880,332800,36,247882,80172,2019-07-24,2019-08-02,False,2,0,52,0,0,3,2
C00009,35,M,Single,Salaried,1444000,1,Owned,5,Bangalore,Karnataka,560001,L00009,Auto,Secured,2035000,1889000,37780.0,340020,1511200,30,852606,758872,2019-07-24,2019-07-25,False,1,0,5,0,0,2,15
C00010,45,M,Single,Salaried,2230000,0,Owned,1,Jaipur,Rajasthan,302001,L00010,Personal,Unsecured,1706000,1658000,33160.0,298440,1326400,6,1063383,871590,2019-07-25,2019-08-05,False,1,0,40,10,45,2,49
